identificador;peso;valor
1;2;5012
2;2;453232
3;3;50323232
4;5;20323232
5;2;40323232
6;1;3232323
7;2;40323232
8;2;39323232323
9;3;3532323
10;20;100
11;18;300
12;17;200
13;20;300
14;12;200
15;10;150
16;14;300
17;68;460
18;21;243
19;15;696
20;75;837
21;73;98
22;17;985
23;10;351
24;10;744
25;32;106
26;54;731
27;13;479
28;64;475
29;22;323
30;26;634
31;26;937
32;93;900
33;44;731
34;34;117
35;21;268
36;65;885
37;88;534
38;48;852
39;17;155
40;12;319
41;21;909
42;31;521
43;2;430
44;51;344
45;31;801
46;23;197
47;63;908
48;5;953
49;3;733
50;32;593
51;8;121
52;6;516
53;5;221
54;1;12
55;12;579
56;15;123
57;12;330
58;13;14
59;14;179
